[2026-06-07 09:22:32] --- NEW SESSION STARTED ---
[2026-06-07 09:22:33] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: Normal
[2026-06-07 09:22:33] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: Normal
[2026-06-07 09:22:33] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: Normal
[2026-06-07 09:22:33] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: Normal
[2026-06-07 09:22:33] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: Normal
[2026-06-07 09:22:33] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: Normal
[2026-06-07 09:22:33] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: Normal
[2026-06-07 09:22:33] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: Normal
[2026-06-07 09:22:33] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: Normal
[2026-06-07 09:22:34] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: Normal
[2026-06-07 09:22:34] 192.168.29.46:5350 -> 13.107.137.11:443 | Protocol: TCP | Status: Normal
[2026-06-07 09:22:34] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: Normal
[2026-06-07 09:22:34] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: Normal
[2026-06-07 09:22:34] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: Normal
[2026-06-07 09:22:34] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: Normal
[2026-06-07 09:22:34] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: Normal
[2026-06-07 09:22:34] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: Normal
[2026-06-07 09:22:34] 192.168.29.46:5351 -> 52.105.246.53:443 | Protocol: TCP | Status: Normal
[2026-06-07 09:22:34] 192.168.29.1 -> 224.0.0.1 | Protocol: IGMP (Router) | Status: Normal
[2026-06-07 09:22:34] 192.168.29.1 -> 224.0.0.1 | Protocol: IGMP (Router) | Status: Normal
[2026-06-07 09:22:34] 192.168.29.1 -> 224.0.0.1 | Protocol: IGMP (Router) | Status: Normal
